109 29 355 141
109 58 354 121
239 60 494 156
249 60 490 153
228 94 500 167
109 58 355 121
232 88 355 141
4 60 268 142
181 68 400 167
115 87 276 184
109 58 356 121
109 28 355 141
181 88 358 153
112 87 276 141
112 77 399 153
115 87 358 153
253 98 500 158
109 58 353 120
109 28 356 141
268 65 386 146
109 27 355 141
247 62 494 156
247 60 489 156
109 46 353 124
254 34 401 158
181 68 397 167
228 88 355 141
242 89 398 203
228 71 500 166
105 27 355 141
108 28 310 124
109 53 320 111
115 87 276 141
114 87 275 141
109 58 273 111
109 29 355 138
247 89 358 144
245 98 500 163
238 80 353 139
109 58 272 111
238 73 358 140
109 45 274 112
112 91 284 141
239 68 355 144
277 43 400 153
109 61 349 120
247 62 500 156
112 80 353 141
